,R2 Score,RMSE,MAE,MPE
Linear Regression,0.8398880599425919,3555.2609382399105,2140.125960777047,4.314001354737018
Decision Tree,0.8920511214029679,2919.2325234382633,1902.857731707317,-1.0084125649828555
Random Forest,0.9566594179395917,1849.7242538047099,1309.2515365853658,-0.8916565306187462
